上位のクエリ,クリック数,表示回数,CTR,掲載順位
it 理系,1,7,14.29%,8.86
エンジニア 理系,0,31,0%,46.29
it 文系 理系 どっち,0,23,0%,2.96
it 理系 文系 どっち,0,20,0%,3.45
it企業 理系 文系,0,13,0%,8.08
it系 理系,0,4,0%,10.5
it系 理系 文系,0,3,0%,6
it 業界 文系,0,2,0%,75.5
it企業とは,0,1,0%,2
文系 it 職種,0,1,0%,3
itは文系理系どっち,0,1,0%,4
it 理系 文系,0,1,0%,5
エンジニア 理系 文系,0,1,0%,52
プログラマー 理系 文系,0,1,0%,55
理系文系就職,0,1,0%,73
文系 it 企業,0,1,0%,81
