上位のクエリ,クリック数,表示回数,CTR,掲載順位
it業界 やめとけ,0,18,0%,27.22
入っては いけない it企業,0,12,0%,34.67
入ってはいけない it企業 新卒,0,9,0%,20.78
新卒 it やめとけ,0,6,0%,13.67
入ってはいけないit企業新卒,0,6,0%,20.33
itエンジニア 向いてない 新卒,0,4,0%,25.25
it業界やめとけ,0,4,0%,28.25
入ってはいけない it企業,0,2,0%,33.5
就活 it 業界,0,1,0%,70
