上位のクエリ,クリック数,表示回数,CTR,掲載順位
新卒 sesしかない,1,17,5.88%,4.18
ses 新卒,1,14,7.14%,21
ses やめとけ 新卒,0,45,0%,14.6
ses エンジニア採用 方法,0,15,0%,63.13
新卒ses,0,1,0%,17
