上位のクエリ,クリック数,表示回数,CTR,掲載順位
インフラ エンジニア 文系,0,30,0%,42.47
it企業 文系,0,7,0%,3.71
インフラ 業界 文系,0,6,0%,46.5
文系 it 職種,0,3,0%,2
文系 it,0,3,0%,25.67
it 業界 文系,0,3,0%,71.67
itエンジニア文系,0,2,0%,79.5
it 文系 なにする,0,1,0%,1
it業界 職種 文系,0,1,0%,1
インフラ 文系,0,1,0%,1
it 文系 職種,0,1,0%,2
文系 it企業,0,1,0%,2
it系 文系,0,1,0%,3
it 企業 文系,0,1,0%,5
it業界 文系 職種,0,1,0%,5
アクセンチュア 文系,0,1,0%,5
インフラエンジニア 文系,0,1,0%,40
it業界 文系,0,1,0%,48
文系 の 仕事,0,1,0%,83
文系の職業,0,1,0%,83
文系 it 企業,0,1,0%,87
it 文系,0,1,0%,89
