上位のクエリ,クリック数,表示回数,CTR,掲載順位
sler 技術力 新卒,0,60,0%,23.83
sier やめとけ,0,50,0%,36.54
sier つまらない,0,45,0%,47.02
sler 技術 新卒,0,44,0%,34.23
sler エンジニア 新卒,0,42,0%,41.76
sler 開発 新卒,0,41,0%,33.9
sler 人事 新卒,0,38,0%,36
sier きつい,0,34,0%,35.44
sler webエンジニア 新卒,0,31,0%,40.9
sier やばい,0,26,0%,31.5
sier やめ とけ,0,25,0%,39.16
sler インフラエンジニア 新卒,0,19,0%,42.37
sier ブラック,0,16,0%,39.31
sler 技術者 新卒,0,11,0%,46.27
sier 新卒,0,6,0%,24
sier 就活,0,2,0%,53.5
sier 新卒 やめとけ,0,1,0%,18
sier 叩かれすぎ,0,1,0%,38
sier つらい,0,1,0%,41
