上位のクエリ,クリック数,表示回数,CTR,掲載順位
文系 se やめとけ,0,9,0%,20.78
新卒 se やめとけ,0,8,0%,17.75
文系se 辞めたい,0,7,0%,27.86
se 就活,0,5,0%,39.6
文系se辞めたい,0,2,0%,28
新卒 it やめとけ,0,1,0%,11
文系se やめとけ,0,1,0%,17
新卒 社内se やめとけ,0,1,0%,43
