上位のクエリ,クリック数,表示回数,CTR,掲載順位
文系 it きつい,0,15,0%,45.87
it業界 やめとけ,0,10,0%,26
it業界 不人気,0,8,0%,20.38
it 業界 文系 やめ とけ,0,5,0%,22.4
文系 it やめとけ 知恵袋,0,4,0%,7.75
文系 it やめとけ,0,3,0%,12.67
文系se やめとけ,0,2,0%,22
it業界やめとけ,0,2,0%,25.5
文系プログラマー やめとけ,0,2,0%,29
入ってはいけない it企業,0,1,0%,39
