上位のクエリ,クリック数,表示回数,CTR,掲載順位
就活 ゴミ,0,15,0%,11.2
転職エージェント ゴミ,0,13,0%,20.38
就活エージェント ゴミ,0,9,0%,11.33
レバ テック ルーキー 最悪,0,1,0%,34
