上位のクエリ,クリック数,表示回数,CTR,掲載順位
x 就活アカウント,1,13,7.69%,9.31
面接 ツイッター,0,59,0%,22.83
twitter japan 就活,0,29,0%,29.21
twitter就活,0,10,0%,24.7
twitter japan 入社理由,0,4,0%,34.5
就活 ツイッター,0,2,0%,15.5
x 就活,0,2,0%,18.5
twitter 就職,0,2,0%,23
就活 x,0,1,0%,10
twitter 就活 バレる,0,1,0%,19
twitter 就活,0,1,0%,23
就活なにもしてない twitter,0,1,0%,30
就活 アカウント,0,1,0%,43
