上位のクエリ,クリック数,表示回数,CTR,掲載順位
新卒エージェント 闇,1,3,33.33%,15
就活エージェント やめとけ,0,20,0%,27.9
就活エージェント 怪しい,0,18,0%,35.94
就活エージェント ブラックばかり,0,13,0%,30.38
転職エージェント 闇,0,4,0%,25.75
就活エージェント やばい,0,2,0%,21.5
就活エージェントやめとけ,0,1,0%,22
就職エージェント やばい,0,1,0%,25
