上位のクエリ,クリック数,表示回数,CTR,掲載順位
it インフラエンジニア 新卒,0,44,0%,44.07
インフラ 業界 やめ とけ,0,28,0%,41.36
インフラ業界 やめとけ,0,5,0%,47.8
インフラエンジニア 就活,0,3,0%,67.33
インフラ エンジニア 新卒,0,2,0%,55.5
インフラエンジニア 新卒,0,1,0%,101
