上位のクエリ,クリック数,表示回数,CTR,掲載順位
aiエンジニア 文系,0,13,0%,10.15
aiに関わる仕事 文系,0,2,0%,18.5
aiエンジニア なるには 大学,0,2,0%,66.5
aiエンジニア 向いている人,0,2,0%,68
文系 ai 仕事,0,1,0%,36
ai 文系,0,1,0%,42
aiエンジニア 就活,0,1,0%,56
